episode,steps,total_time,total_reward,profit_per_time,completed_orders,completion_rate,empty_drive_ratio,reposition_rate,stay_and_wait_rate,mean_trip_fare
0,49,199,-14.5,-0.0728643216080402,18,0.02155688622754491,0.7035175879396985,0.8775510204081632,0.12244897959183673,8.277777777777779
1,52,196,-35.0,-0.17857142857142858,18,0.0200445434298441,0.7587939698492462,0.9615384615384616,0.038461538461538464,7.666666666666667
2,39,200,-13.0,-0.065,18,0.024423337856173677,0.681592039800995,0.9487179487179487,0.05128205128205128,8.555555555555555
3,41,193,-43.0,-0.22279792746113988,16,0.02282453637660485,0.7474747474747475,1.0,0.0,8.125
4,47,200,-24.0,-0.12,17,0.021013597033374538,0.7114427860696517,0.8936170212765957,0.10638297872340426,8.411764705882353
5,47,200,-39.5,-0.1975,17,0.019630484988452657,0.755,0.9574468085106383,0.0425531914893617,7.882352941176471
6,40,196,14.5,0.07397959183673469,21,0.025735294117647058,0.6395939086294417,1.0,0.0,8.380952380952381
7,42,200,-49.5,-0.2475,16,0.0221606648199446,0.7761194029850746,0.9047619047619048,0.09523809523809523,7.8125
8,54,200,-53.0,-0.265,15,0.017241379310344827,0.77,0.9444444444444444,0.05555555555555555,8.066666666666666
9,39,198,-26.5,-0.13383838383838384,17,0.024890190336749635,0.7106598984771574,1.0,0.0,8.352941176470589
10,51,200,-47.0,-0.235,17,0.019883040935672516,0.78,0.9607843137254902,0.0392156862745098,7.588235294117647
11,48,200,-5.5,-0.0275,22,0.02534562211981567,0.7192118226600985,0.9583333333333334,0.041666666666666664,7.590909090909091
12,42,200,-39.0,-0.195,16,0.022377622377622378,0.7326732673267327,0.9523809523809523,0.047619047619047616,8.375
13,49,200,-53.0,-0.265,16,0.01982651796778191,0.7810945273631841,0.9591836734693877,0.04081632653061224,7.75
14,44,200,-17.0,-0.085,19,0.02402022756005057,0.7128712871287128,0.9318181818181818,0.06818181818181818,8.052631578947368
15,42,200,-21.0,-0.105,19,0.02383939774153074,0.7213930348258707,0.9761904761904762,0.023809523809523808,7.947368421052632
16,52,200,-43.5,-0.2175,18,0.020022246941045607,0.785,0.9615384615384616,0.038461538461538464,7.388888888888889
17,47,200,-10.0,-0.05,19,0.02235294117647059,0.69,0.9574468085106383,0.0425531914893617,8.263157894736842
18,40,200,-33.0,-0.165,17,0.024079320113314446,0.7241379310344828,0.975,0.025,8.294117647058824
19,39,200,14.0,0.07,22,0.028683181225554105,0.6616915422885572,0.9230769230769231,0.07692307692307693,8.090909090909092
20,41,198,-41.5,-0.20959595959595959,15,0.021337126600284494,0.7323232323232324,0.9512195121951219,0.04878048780487805,8.533333333333333
21,45,200,-6.5,-0.0325,20,0.023923444976076555,0.698019801980198,0.9111111111111111,0.08888888888888889,8.05
22,41,200,-79.0,-0.395,13,0.019345238095238096,0.8118811881188119,0.975609756097561,0.024390243902439025,7.923076923076923
23,48,196,-40.0,-0.20408163265306123,18,0.021301775147928994,0.7766497461928934,0.9791666666666666,0.020833333333333332,7.444444444444445
24,47,200,-5.0,-0.025,21,0.023728813559322035,0.696078431372549,0.9787234042553191,0.02127659574468085,7.9523809523809526
25,46,200,-48.5,-0.2425,17,0.022193211488250653,0.7761194029850746,1.0,0.0,7.647058823529412
26,51,200,-49.5,-0.2475,16,0.019115890083632018,0.775,0.9411764705882353,0.058823529411764705,7.8125
27,45,200,26.5,0.1325,24,0.027428571428571427,0.645,1.0,0.0,7.958333333333333
28,49,200,-18.0,-0.09,20,0.023894862604540025,0.7313432835820896,0.9591836734693877,0.04081632653061224,7.7
29,38,200,-17.0,-0.085,16,0.023633677991137372,0.66,0.9736842105263158,0.02631578947368421,9.25
30,47,200,-46.5,-0.2325,16,0.02099737532808399,0.765,0.9361702127659575,0.06382978723404255,7.9375
31,49,197,-71.5,-0.3629441624365482,15,0.018541409147095178,0.8333333333333334,0.9591836734693877,0.04081632653061224,7.2
32,46,196,8.0,0.04081632653061224,21,0.023333333333333334,0.6701030927835051,0.9782608695652174,0.021739130434782608,8.047619047619047
33,46,199,-11.0,-0.05527638190954774,21,0.023972602739726026,0.7258883248730964,1.0,0.0,7.571428571428571
34,41,200,-18.0,-0.09,20,0.02560819462227913,0.73,0.975609756097561,0.024390243902439025,7.7
35,47,200,-14.0,-0.07,17,0.02119700748129676,0.6748768472906403,0.8936170212765957,0.10638297872340426,8.882352941176471
36,43,200,-1.5,-0.0075,20,0.024539877300613498,0.6683168316831684,1.0,0.0,8.35
37,43,200,-45.0,-0.225,15,0.021337126600284494,0.7412935323383084,0.9302325581395349,0.06976744186046512,8.466666666666667
38,47,200,-27.0,-0.135,17,0.021711366538952746,0.7114427860696517,0.9574468085106383,0.0425531914893617,8.411764705882353
39,39,200,-3.5,-0.0175,19,0.027220630372492838,0.6536585365853659,1.0,0.0,8.736842105263158
40,42,200,-10.0,-0.05,20,0.024301336573511544,0.7014925373134329,0.9761904761904762,0.023809523809523808,8.0
41,38,196,14.5,0.07397959183673469,21,0.02727272727272727,0.6479591836734694,0.9473684210526315,0.05263157894736842,8.285714285714286
42,54,198,-40.0,-0.20202020202020202,18,0.01933404940923738,0.7777777777777778,0.9629629629629629,0.037037037037037035,7.444444444444445
43,48,197,-18.0,-0.09137055837563451,18,0.019736842105263157,0.7230769230769231,0.875,0.125,8.0
44,47,200,-14.5,-0.0725,18,0.022277227722772276,0.6881188118811881,0.9361702127659575,0.06382978723404255,8.5
45,48,200,-82.0,-0.41,13,0.01668806161745828,0.8146341463414634,0.9791666666666666,0.020833333333333332,7.923076923076923
46,46,200,-11.0,-0.055,20,0.023752969121140142,0.7128712871287128,0.9130434782608695,0.08695652173913043,7.9
47,46,200,-42.5,-0.2125,16,0.0201765447667087,0.7475247524752475,0.9347826086956522,0.06521739130434782,8.1875
48,44,200,-52.5,-0.2625,14,0.017948717948717947,0.7389162561576355,0.9772727272727273,0.022727272727272728,8.785714285714286
