episode,steps,total_time,total_reward,profit_per_time,completed_orders,completion_rate,empty_drive_ratio,reposition_rate,stay_and_wait_rate,mean_trip_fare
0,43,200,-122.5,-0.6125,7,0.005083514887436456,0.8557213930348259,1.0,0.0,9.142857142857142
1,40,200,-44.5,-0.2225,15,0.009009009009009009,0.7277227722772277,1.0,0.0,8.666666666666666
2,35,200,-16.5,-0.0825,18,0.011306532663316583,0.6865671641791045,1.0,0.0,8.5
3,41,200,-16.0,-0.08,18,0.010404624277456647,0.6847290640394089,0.975609756097561,0.024390243902439025,8.555555555555555
4,46,193,-55.5,-0.28756476683937826,14,0.007900677200902935,0.7614213197969543,0.9782608695652174,0.021739130434782608,8.357142857142858
5,40,197,-71.0,-0.3604060913705584,12,0.007532956685499058,0.7777777777777778,0.975,0.025,8.666666666666666
6,36,200,-51.0,-0.255,13,0.008707300736771601,0.7213930348258707,0.9722222222222222,0.027777777777777776,9.307692307692308
7,46,200,-59.5,-0.2975,14,0.008069164265129682,0.765,1.0,0.0,8.357142857142858
8,44,197,-53.5,-0.2715736040609137,14,0.007990867579908675,0.7525252525252525,0.9772727272727273,0.022727272727272728,8.5
9,36,200,-17.5,-0.0875,16,0.010862186014935505,0.6567164179104478,1.0,0.0,9.3125
10,36,200,-44.5,-0.2225,15,0.009946949602122016,0.7277227722772277,1.0,0.0,8.666666666666666
11,43,200,-35.5,-0.1775,16,0.0093841642228739,0.7121951219512195,0.9767441860465116,0.023255813953488372,8.6875
12,42,200,-20.0,-0.1,18,0.010882708585247884,0.7014925373134329,0.9761904761904762,0.023809523809523808,8.333333333333334
13,38,200,-54.5,-0.2725,14,0.009433962264150943,0.746268656716418,1.0,0.0,8.642857142857142
14,42,200,-72.5,-0.3625,12,0.007894736842105263,0.775,1.0,0.0,8.75
15,37,200,-24.5,-0.1225,17,0.010572139303482588,0.698019801980198,0.972972972972973,0.02702702702702703,8.588235294117647
16,43,192,-65.5,-0.3411458333333333,12,0.007453416149068323,0.7602040816326531,1.0,0.0,8.916666666666666
17,40,200,-27.5,-0.1375,16,0.009362200117027502,0.6911764705882353,0.95,0.05,8.9375
18,46,194,-64.5,-0.3324742268041237,14,0.008220786846741044,0.7929292929292929,0.9565217391304348,0.043478260869565216,7.928571428571429
19,37,200,-11.0,-0.055,18,0.011076923076923076,0.6650246305418719,1.0,0.0,8.777777777777779
20,35,200,-47.5,-0.2375,14,0.009838369641602248,0.7192118226600985,1.0,0.0,9.071428571428571
21,36,200,-17.5,-0.0875,15,0.009894459102902375,0.645,0.9722222222222222,0.027777777777777776,9.733333333333333
22,44,200,-45.0,-0.225,15,0.008797653958944282,0.74,0.9545454545454546,0.045454545454545456,8.466666666666667
23,48,200,-19.0,-0.095,17,0.00874485596707819,0.681592039800995,0.9791666666666666,0.020833333333333332,8.764705882352942
24,39,200,-49.0,-0.245,15,0.009196811771919068,0.7512437810945274,0.9487179487179487,0.05128205128205128,8.333333333333334
25,45,194,-37.5,-0.19329896907216496,17,0.009460211463550361,0.7577319587628866,0.9777777777777777,0.022222222222222223,7.764705882352941
26,44,200,-60.0,-0.3,14,0.008172796263864565,0.77,0.9772727272727273,0.022727272727272728,8.285714285714286
27,33,200,-36.5,-0.1825,15,0.010533707865168539,0.7064676616915423,0.9696969696969697,0.030303030303030304,8.933333333333334
28,41,200,-19.5,-0.0975,17,0.010397553516819572,0.6813725490196079,0.9512195121951219,0.04878048780487805,8.823529411764707
29,45,194,-52.0,-0.26804123711340205,15,0.008264462809917356,0.7688442211055276,0.9333333333333333,0.06666666666666667,8.066666666666666
30,46,200,-53.0,-0.265,14,0.00813953488372093,0.7412935323383084,1.0,0.0,8.714285714285714
31,38,200,-31.5,-0.1575,16,0.010450685826257348,0.6995073891625616,1.0,0.0,8.8125
32,39,197,-16.5,-0.08375634517766498,18,0.010619469026548672,0.702020202020202,0.9230769230769231,0.07692307692307693,8.277777777777779
33,37,200,-37.0,-0.185,16,0.01021059349074665,0.73,0.9459459459459459,0.05405405405405406,8.375
34,40,195,-60.5,-0.31025641025641026,14,0.008594229588704727,0.7806122448979592,0.975,0.025,8.071428571428571
35,47,200,-50.0,-0.25,13,0.007523148148148148,0.7128712871287128,1.0,0.0,9.461538461538462
36,40,198,-35.5,-0.17929292929292928,16,0.009318578916715201,0.7222222222222222,1.0,0.0,8.4375
37,38,200,-55.0,-0.275,14,0.009339559706470981,0.7438423645320197,1.0,0.0,8.714285714285714
38,42,200,-57.5,-0.2875,13,0.008145363408521303,0.7389162561576355,0.9761904761904762,0.023809523809523808,9.076923076923077
39,44,200,-26.0,-0.13,17,0.009820912767186597,0.7128712871287128,0.9090909090909091,0.09090909090909091,8.411764705882353
40,40,200,-87.5,-0.4375,10,0.006613756613756613,0.7960199004975125,0.95,0.05,9.1
41,40,200,-47.0,-0.235,15,0.009140767824497258,0.7339901477832512,1.0,0.0,8.6
42,44,200,-70.0,-0.35,13,0.0076067875950848445,0.7810945273631841,1.0,0.0,8.384615384615385
43,35,200,-39.0,-0.195,14,0.009440323668240054,0.6945812807881774,0.9714285714285714,0.02857142857142857,9.428571428571429
44,43,197,-66.5,-0.33756345177664976,14,0.008254716981132075,0.8020304568527918,0.9534883720930233,0.046511627906976744,7.785714285714286
45,34,200,-30.0,-0.15,15,0.010518934081346423,0.6831683168316832,0.9705882352941176,0.029411764705882353,9.266666666666667
46,39,200,-43.5,-0.2175,15,0.00922509225092251,0.7277227722772277,0.9743589743589743,0.02564102564102564,8.666666666666666
47,40,200,-70.5,-0.3525,12,0.007772020725388601,0.775,0.95,0.05,8.75
48,42,200,-50.0,-0.25,14,0.008225616921269096,0.7268292682926829,0.9761904761904762,0.023809523809523808,9.0
49,33,200,3.5,0.0175,18,0.01250868658790827,0.625,0.9696969696969697,0.030303030303030304,9.166666666666666
50,42,200,-57.0,-0.285,15,0.008561643835616438,0.7810945273631841,0.9285714285714286,0.07142857142857142,7.933333333333334
51,37,200,-32.5,-0.1625,17,0.0112806901128069,0.7263681592039801,0.972972972972973,0.02702702702702703,8.235294117647058
52,40,200,-54.0,-0.27,13,0.008408796895213453,0.7241379310344828,1.0,0.0,9.307692307692308
53,35,200,-20.5,-0.1025,15,0.010608203677510608,0.655,0.9714285714285714,0.02857142857142857,9.6
54,46,200,-48.5,-0.2425,15,0.008450704225352112,0.746268656716418,0.9782608695652174,0.021739130434782608,8.4
55,32,200,-36.0,-0.18,17,0.011486486486486487,0.7326732673267327,1.0,0.0,8.176470588235293
56,41,200,-67.0,-0.335,12,0.007931262392597489,0.7524752475247525,1.0,0.0,9.166666666666666
57,32,194,10.5,0.05412371134020619,20,0.013227513227513227,0.6424870466321243,1.0,0.0,8.45
58,44,200,-63.0,-0.315,13,0.00798035604665439,0.76,1.0,0.0,8.692307692307692
59,42,200,-65.0,-0.325,13,0.007859733978234583,0.77,0.9761904761904762,0.023809523809523808,8.538461538461538
60,42,200,-6.0,-0.03,19,0.010052910052910053,0.6732673267326733,0.9523809523809523,0.047619047619047616,8.473684210526315
61,40,200,-40.0,-0.2,17,0.010173548773189706,0.7378640776699029,1.0,0.0,8.176470588235293
62,37,194,-55.5,-0.2860824742268041,13,0.008777852802160702,0.751269035532995,0.918918918918919,0.08108108108108109,8.76923076923077
63,43,200,-77.5,-0.3875,11,0.007019783024888321,0.7696078431372549,0.9767441860465116,0.023255813953488372,9.272727272727273
64,38,200,-8.0,-0.04,19,0.011480362537764351,0.68,0.9736842105263158,0.02631578947368421,8.368421052631579
65,35,200,-23.5,-0.1175,17,0.011325782811459028,0.695,1.0,0.0,8.588235294117647
66,36,200,-55.0,-0.275,14,0.009510869565217392,0.75,1.0,0.0,8.571428571428571
67,48,197,-71.5,-0.3629441624365482,12,0.006674082313681869,0.7738693467336684,1.0,0.0,8.75
68,36,200,-37.5,-0.1875,15,0.010033444816053512,0.7079207920792079,0.9722222222222222,0.027777777777777776,8.933333333333334
69,37,200,-50.0,-0.25,13,0.008971704623878536,0.7142857142857143,0.972972972972973,0.02702702702702703,9.461538461538462
70,41,200,-41.0,-0.205,15,0.00906344410876133,0.7213930348258707,0.975609756097561,0.024390243902439025,8.733333333333333
71,41,199,-49.5,-0.24874371859296482,15,0.00911854103343465,0.7525252525252525,1.0,0.0,8.266666666666667
