episode,steps,total_time,total_reward,profit_per_time,completed_orders,completion_rate,empty_drive_ratio,reposition_rate,stay_and_wait_rate,mean_trip_fare
0,31,190,-64.5,-0.3394736842105263,11,0.009105960264900662,0.7411167512690355,0.967741935483871,0.03225806451612903,9.636363636363637
1,32,200,-101.0,-0.505,9,0.007389162561576354,0.82,1.0,0.0,9.0
2,26,200,-43.5,-0.2175,10,0.009363295880149813,0.645,1.0,0.0,12.1
3,30,200,-107.0,-0.535,7,0.006616257088846881,0.81,0.9666666666666667,0.03333333333333333,10.428571428571429
4,30,200,-74.0,-0.37,11,0.009060955518945634,0.7611940298507462,1.0,0.0,9.363636363636363
5,26,190,-31.5,-0.16578947368421051,13,0.010806317539484621,0.6701570680628273,1.0,0.0,9.846153846153847
6,30,200,-73.0,-0.365,8,0.00699912510936133,0.7114427860696517,0.9666666666666667,0.03333333333333333,12.25
7,23,193,-76.5,-0.3963730569948187,9,0.009278350515463918,0.7424242424242424,1.0,0.0,10.666666666666666
8,25,200,-47.0,-0.235,12,0.011090573012939002,0.6847290640394089,1.0,0.0,10.333333333333334
9,26,200,-57.0,-0.285,9,0.009278350515463918,0.68,0.9230769230769231,0.07692307692307693,12.11111111111111
10,26,200,-88.0,-0.44,9,0.008771929824561403,0.7658536585365854,1.0,0.0,10.333333333333334
11,27,189,-67.5,-0.35714285714285715,11,0.009874326750448833,0.7437185929648241,1.0,0.0,9.636363636363637
12,30,200,-47.5,-0.2375,11,0.009573542210617928,0.6766169154228856,0.9666666666666667,0.03333333333333333,10.909090909090908
13,24,193,-78.0,-0.40414507772020725,9,0.009045226130653266,0.7551020408163265,0.9583333333333334,0.041666666666666664,10.333333333333334
14,26,198,-67.5,-0.3409090909090909,8,0.008064516129032258,0.6934673366834171,1.0,0.0,12.625
15,25,198,-58.5,-0.29545454545454547,10,0.009233610341643583,0.700507614213198,1.0,0.0,10.9
16,29,200,-88.5,-0.4425,9,0.008100810081008101,0.7632850241545893,1.0,0.0,10.444444444444445
17,25,200,-39.0,-0.195,11,0.010156971375807941,0.6435643564356436,1.0,0.0,11.545454545454545
18,25,196,-33.5,-0.17091836734693877,11,0.010506208213944603,0.6358974358974359,1.0,0.0,11.454545454545455
19,28,200,-24.5,-0.1225,13,0.010824313072439634,0.6368159203980099,0.9285714285714286,0.07142857142857142,10.615384615384615
20,31,200,-110.0,-0.55,8,0.006993006993006993,0.824390243902439,0.967741935483871,0.03225806451612903,9.5
21,30,200,-57.5,-0.2875,12,0.009554140127388535,0.7135922330097088,1.0,0.0,9.916666666666666
22,30,200,-62.0,-0.31,12,0.009950248756218905,0.7412935323383084,0.9666666666666667,0.03333333333333333,9.333333333333334
23,30,200,-43.5,-0.2175,13,0.01025236593059937,0.6896551724137931,1.0,0.0,9.846153846153847
24,26,191,-25.0,-0.13089005235602094,12,0.010025062656641603,0.6180904522613065,1.0,0.0,11.333333333333334
25,30,196,-91.0,-0.4642857142857143,9,0.008115419296663661,0.7959183673469388,1.0,0.0,9.444444444444445
26,25,200,-69.5,-0.3475,9,0.009054325955734407,0.7107843137254902,0.96,0.04,11.555555555555555
27,28,200,-98.5,-0.4925,8,0.007469654528478058,0.795,1.0,0.0,10.125
28,34,200,-133.0,-0.665,6,0.005323868677905945,0.8634146341463415,1.0,0.0,9.666666666666666
29,32,200,-65.0,-0.325,12,0.00916030534351145,0.75,1.0,0.0,9.166666666666666
30,26,200,-87.5,-0.4375,9,0.009183673469387756,0.775,1.0,0.0,10.0
31,27,192,-53.5,-0.2786458333333333,13,0.010842368640533779,0.7336683417085427,0.9629629629629629,0.037037037037037035,9.076923076923077
32,26,200,-30.0,-0.15,12,0.010425716768027803,0.6336633663366337,0.9615384615384616,0.038461538461538464,11.166666666666666
33,23,200,-73.0,-0.365,8,0.008639308855291577,0.71,1.0,0.0,12.25
34,25,195,-50.5,-0.258974358974359,11,0.009821428571428571,0.6989795918367347,0.92,0.08,10.363636363636363
35,26,191,-37.5,-0.19633507853403143,11,0.00974313551815766,0.6432160804020101,1.0,0.0,11.454545454545455
36,23,199,-50.0,-0.25125628140703515,9,0.009045226130653266,0.6582914572864321,0.9130434782608695,0.08695652173913043,12.555555555555555
37,24,200,-62.0,-0.31,11,0.010967098703888335,0.7213930348258707,1.0,0.0,10.090909090909092
38,29,200,-118.5,-0.5925,6,0.005888125613346418,0.8186274509803921,1.0,0.0,11.166666666666666
39,21,200,-67.0,-0.335,10,0.011507479861910242,0.7101449275362319,1.0,0.0,11.0
40,22,197,-25.0,-0.12690355329949238,13,0.01177536231884058,0.6363636363636364,1.0,0.0,10.538461538461538
41,31,200,-60.5,-0.3025,10,0.00819000819000819,0.6995073891625616,0.967741935483871,0.03225806451612903,11.1
42,30,192,-45.5,-0.23697916666666666,11,0.008737092930897538,0.6733668341708543,0.9666666666666667,0.03333333333333333,10.909090909090908
43,28,200,-11.5,-0.0575,14,0.010819165378670788,0.605,1.0,0.0,10.642857142857142
44,23,200,-135.5,-0.6775,5,0.0062266500622665,0.8656716417910447,1.0,0.0,10.4
45,25,190,-10.5,-0.05526315789473684,15,0.012335526315789474,0.6275510204081632,0.96,0.04,9.866666666666667
46,27,191,-61.5,-0.3219895287958115,11,0.009458297506448839,0.7447916666666666,0.9259259259259259,0.07407407407407407,9.454545454545455
47,26,200,-44.0,-0.22,13,0.011284722222222222,0.693069306930693,1.0,0.0,9.76923076923077
48,27,200,-59.0,-0.295,13,0.010416666666666666,0.7524752475247525,0.8888888888888888,0.1111111111111111,8.846153846153847
49,31,196,-69.5,-0.35459183673469385,10,0.008424599831508003,0.7411167512690355,0.967741935483871,0.03225806451612903,10.1
50,27,200,-54.5,-0.2725,11,0.009401709401709401,0.6965174129353234,1.0,0.0,10.545454545454545
51,22,200,-91.5,-0.4575,9,0.010452961672473868,0.7605633802816901,1.0,0.0,10.666666666666666
52,30,195,-76.0,-0.38974358974358975,9,0.0074875207986688855,0.7386934673366834,1.0,0.0,10.777777777777779
53,25,200,-57.0,-0.285,10,0.010214504596527068,0.6862745098039216,0.96,0.04,11.4
54,22,200,-48.5,-0.2425,10,0.011001100110011002,0.665,0.9545454545454546,0.045454545454545456,11.7
55,30,191,-95.5,-0.5,6,0.005333333333333333,0.7680412371134021,0.9666666666666667,0.03333333333333333,12.5
56,27,200,-25.5,-0.1275,14,0.012006861063464836,0.6394230769230769,1.0,0.0,10.357142857142858
57,26,200,-30.5,-0.1525,12,0.010752688172043012,0.635,1.0,0.0,11.083333333333334
58,27,200,-46.5,-0.2325,12,0.010723860589812333,0.6881188118811881,0.9629629629629629,0.037037037037037035,10.25
59,23,200,-91.5,-0.4575,8,0.0087527352297593,0.7673267326732673,1.0,0.0,10.875
60,31,200,-61.0,-0.305,13,0.009651076466221232,0.7450980392156863,1.0,0.0,9.0
61,29,196,-73.5,-0.375,8,0.007279344858962694,0.7253886010362695,1.0,0.0,11.625
62,29,190,-98.5,-0.5184210526315789,9,0.007964601769911504,0.8140703517587939,1.0,0.0,9.11111111111111
63,25,200,-82.5,-0.4125,9,0.008946322067594433,0.7574257425742574,0.96,0.04,10.444444444444445
64,26,200,-82.0,-0.41,9,0.00909090909090909,0.7524752475247525,1.0,0.0,10.555555555555555
65,28,200,-59.0,-0.295,11,0.009725906277630416,0.72,0.9285714285714286,0.07142857142857142,10.090909090909092
66,25,200,-42.5,-0.2125,11,0.010506208213944603,0.6567164179104478,1.0,0.0,11.272727272727273
67,29,193,-82.0,-0.42487046632124353,9,0.007867132867132868,0.7587939698492462,1.0,0.0,10.333333333333334
68,32,200,-73.0,-0.365,11,0.00882825040128411,0.748792270531401,0.96875,0.03125,9.727272727272727
69,29,200,-56.5,-0.2825,12,0.010247651579846286,0.7121951219512195,1.0,0.0,9.916666666666666
70,30,200,-88.0,-0.44,9,0.007712082262210797,0.7722772277227723,1.0,0.0,10.11111111111111
71,27,200,-62.5,-0.3125,10,0.009267840593141797,0.7093596059113301,0.9259259259259259,0.07407407407407407,10.9
72,36,200,-89.5,-0.4475,12,0.008450704225352112,0.8195121951219512,1.0,0.0,8.083333333333334
73,35,200,-145.5,-0.7275,5,0.004306632213608958,0.905,0.9714285714285714,0.02857142857142857,8.8
74,30,191,-113.5,-0.5942408376963351,6,0.005698005698005698,0.837696335078534,0.9666666666666667,0.03333333333333333,10.166666666666666
75,27,200,-98.0,-0.49,8,0.00802407221664995,0.7910447761194029,1.0,0.0,10.25
76,23,197,-13.0,-0.06598984771573604,13,0.011948529411764705,0.5979899497487438,0.9565217391304348,0.043478260869565216,11.153846153846153
77,27,200,-56.0,-0.28,13,0.011168384879725086,0.7339901477832512,0.9629629629629629,0.037037037037037035,9.153846153846153
78,28,200,-143.0,-0.715,5,0.005518763796909493,0.8910891089108911,0.9642857142857143,0.03571428571428571,9.4
79,22,200,-70.0,-0.35,8,0.009313154831199068,0.6945812807881774,1.0,0.0,12.75
80,29,200,-66.5,-0.3325,10,0.008748906386701663,0.725,0.9655172413793104,0.034482758620689655,10.5
81,21,200,-33.5,-0.1675,12,0.012972972972972972,0.645,1.0,0.0,10.916666666666666
82,26,192,-66.0,-0.34375,11,0.00974313551815766,0.7386934673366834,1.0,0.0,9.727272727272727
83,31,200,-60.0,-0.3,12,0.009685230024213076,0.7254901960784313,1.0,0.0,9.666666666666666
84,27,200,-80.0,-0.4,9,0.008858267716535433,0.7438423645320197,1.0,0.0,10.777777777777779
85,26,199,10.0,0.05025125628140704,14,0.011884550084889643,0.5408163265306123,0.9615384615384616,0.038461538461538464,11.428571428571429
86,31,200,-63.0,-0.315,13,0.009938837920489297,0.7475728155339806,1.0,0.0,9.0
87,34,200,-99.5,-0.4975,9,0.007047768206734534,0.7952380952380952,0.9705882352941176,0.029411764705882353,9.777777777777779
88,34,200,-113.0,-0.565,7,0.006151142355008787,0.84,0.8823529411764706,0.11764705882352941,9.571428571428571
89,32,200,-118.5,-0.5925,7,0.00618921308576481,0.8465346534653465,0.9375,0.0625,9.428571428571429
90,31,200,-66.0,-0.33,12,0.009501187648456057,0.7450980392156863,1.0,0.0,9.333333333333334
91,30,199,-69.5,-0.3492462311557789,8,0.007233273056057866,0.7091836734693877,0.9666666666666667,0.03333333333333333,12.125
92,25,192,-38.5,-0.20052083333333334,12,0.010638297872340425,0.6752577319587629,0.96,0.04,10.25
93,29,200,-88.5,-0.4425,10,0.008888888888888889,0.795,1.0,0.0,9.1
94,28,198,-72.0,-0.36363636363636365,9,0.00774526678141136,0.7422680412371134,0.9285714285714286,0.07142857142857142,10.555555555555555
95,30,200,-40.0,-0.2,14,0.01120896717373899,0.6893203883495146,1.0,0.0,9.571428571428571
96,30,200,-65.5,-0.3275,11,0.009523809523809525,0.735,1.0,0.0,9.818181818181818
97,31,192,-93.0,-0.484375,8,0.007104795737122558,0.7868020304568528,0.967741935483871,0.03225806451612903,10.25
98,33,200,-87.0,-0.435,9,0.0074875207986688855,0.7745098039215687,0.9090909090909091,0.09090909090909091,10.11111111111111
99,29,200,-94.5,-0.4725,9,0.008093525179856115,0.7699530516431925,1.0,0.0,10.444444444444445
100,20,200,-54.0,-0.27,10,0.011848341232227487,0.6748768472906403,1.0,0.0,11.6
101,29,195,-45.5,-0.23333333333333334,13,0.010292953285827395,0.7091836734693877,1.0,0.0,9.384615384615385
102,29,200,-75.5,-0.3775,11,0.009220452640402346,0.7661691542288557,1.0,0.0,9.272727272727273
103,26,200,-51.0,-0.255,11,0.010101010101010102,0.69,0.9615384615384616,0.038461538461538464,10.636363636363637
104,29,200,-44.0,-0.22,13,0.01113013698630137,0.6878048780487804,1.0,0.0,9.923076923076923
105,24,200,-60.0,-0.3,11,0.010506208213944603,0.7128712871287128,1.0,0.0,10.272727272727273
106,26,200,-23.0,-0.115,13,0.011353711790393014,0.63,0.9615384615384616,0.038461538461538464,10.692307692307692
107,29,200,-32.0,-0.16,12,0.010398613518197574,0.64,1.0,0.0,11.0
108,32,200,-113.0,-0.565,7,0.0060396893874029335,0.8217821782178217,1.0,0.0,10.142857142857142
109,25,200,-47.0,-0.235,13,0.01086048454469507,0.6923076923076923,1.0,0.0,9.923076923076923
110,26,190,-61.5,-0.3236842105263158,9,0.008840864440078585,0.703125,1.0,0.0,11.333333333333334
111,28,196,-59.5,-0.30357142857142855,10,0.00864304235090752,0.7035175879396985,0.9642857142857143,0.03571428571428571,10.9
112,25,198,-33.5,-0.1691919191919192,10,0.0091324200913242,0.6192893401015228,0.96,0.04,12.5
113,30,193,-74.5,-0.3860103626943005,10,0.00823045267489712,0.7589743589743589,1.0,0.0,9.7
114,22,193,-25.5,-0.13212435233160622,12,0.01238390092879257,0.6212121212121212,1.0,0.0,11.25
115,30,200,-97.5,-0.4875,9,0.007725321888412017,0.7942583732057417,0.9333333333333333,0.06666666666666667,9.777777777777779
116,33,199,-54.5,-0.27386934673366836,11,0.00870253164556962,0.7150259067357513,0.9696969696969697,0.030303030303030304,10.0
117,27,200,-35.5,-0.1775,14,0.011647254575707155,0.6813725490196079,0.9629629629629629,0.037037037037037035,9.642857142857142
118,25,200,-12.0,-0.06,15,0.013134851138353765,0.6176470588235294,1.0,0.0,10.2
119,27,200,-71.5,-0.3575,9,0.00827966881324747,0.7178217821782178,1.0,0.0,11.333333333333334
120,26,200,-61.5,-0.3075,9,0.009109311740890687,0.6881188118811881,0.9615384615384616,0.038461538461538464,12.0
121,28,200,-44.5,-0.2225,11,0.009883198562443846,0.6683168316831684,0.9285714285714286,0.07142857142857142,11.090909090909092
122,32,192,-108.0,-0.5625,8,0.006493506493506494,0.8469387755102041,0.90625,0.09375,8.75
123,23,200,-34.5,-0.1725,13,0.012380952380952381,0.665,1.0,0.0,10.153846153846153
124,34,193,-85.5,-0.4430051813471503,10,0.008123476848090982,0.7918781725888325,1.0,0.0,9.1
125,30,200,-53.5,-0.2675,12,0.010092514718250631,0.715,0.9666666666666667,0.03333333333333333,9.75
126,31,200,-62.5,-0.3125,12,0.00966183574879227,0.7376237623762376,1.0,0.0,9.416666666666666
127,25,198,-7.0,-0.03535353535353535,15,0.012274959083469721,0.6161616161616161,0.92,0.08,10.066666666666666
128,29,200,-91.5,-0.4575,9,0.008294930875576038,0.7871287128712872,0.9655172413793104,0.034482758620689655,9.777777777777779
129,29,200,-110.0,-0.55,7,0.006930693069306931,0.8118811881188119,1.0,0.0,10.428571428571429
130,30,200,-125.5,-0.6275,8,0.006932409012131715,0.8768472906403941,1.0,0.0,8.125
131,30,200,-104.5,-0.5225,8,0.007332722273143905,0.815,1.0,0.0,9.625
132,27,200,-71.0,-0.355,11,0.009874326750448833,0.7450980392156863,1.0,0.0,9.727272727272727
133,25,192,-43.0,-0.22395833333333334,10,0.009940357852882704,0.6512820512820513,1.0,0.0,11.8
134,26,195,-69.0,-0.35384615384615387,9,0.0087890625,0.7230769230769231,1.0,0.0,11.0
135,35,200,-77.5,-0.3875,13,0.0091164095371669,0.806930693069307,0.9714285714285714,0.02857142857142857,8.0
136,29,200,-96.5,-0.4825,8,0.00749063670411985,0.7871287128712872,0.9655172413793104,0.034482758620689655,10.375
137,26,200,-34.0,-0.17,12,0.01073345259391771,0.65,0.9615384615384616,0.038461538461538464,10.833333333333334
138,28,200,-63.5,-0.3175,11,0.009838998211091235,0.7205882352941176,1.0,0.0,10.181818181818182
139,27,189,-117.0,-0.6190476190476191,6,0.006134969325153374,0.844559585492228,0.9629629629629629,0.037037037037037035,10.0
140,28,200,-59.0,-0.295,12,0.010353753235547885,0.7184466019417476,1.0,0.0,9.833333333333334
141,28,200,-72.5,-0.3625,9,0.008364312267657992,0.7081339712918661,1.0,0.0,11.777777777777779
142,25,200,-38.0,-0.19,12,0.011299435028248588,0.66,1.0,0.0,10.666666666666666
143,23,196,-65.5,-0.33418367346938777,8,0.008456659619450317,0.6958762886597938,1.0,0.0,12.375
144,28,200,-91.5,-0.4575,9,0.008458646616541353,0.7871287128712872,0.9642857142857143,0.03571428571428571,9.777777777777779
145,23,200,-62.5,-0.3125,10,0.010121457489878543,0.7064676616915423,1.0,0.0,10.9
146,25,200,-49.0,-0.245,11,0.010175763182238668,0.68,1.0,0.0,10.818181818181818
147,28,200,-92.5,-0.4625,9,0.008687258687258687,0.7871287128712872,1.0,0.0,9.777777777777779
148,22,200,-14.0,-0.07,12,0.011695906432748537,0.58,1.0,0.0,12.0
149,30,200,-66.5,-0.3325,12,0.010050251256281407,0.755,1.0,0.0,9.083333333333334
150,29,200,-13.0,-0.065,15,0.011682242990654205,0.6237623762376238,1.0,0.0,10.066666666666666
151,23,200,-48.5,-0.2425,11,0.011055276381909548,0.6766169154228856,1.0,0.0,10.909090909090908
152,32,200,-61.0,-0.305,10,0.008605851979345954,0.71,0.9375,0.0625,10.8
153,27,197,-84.5,-0.4289340101522843,9,0.008547008547008548,0.7715736040609137,1.0,0.0,10.0
154,29,200,-123.5,-0.6175,7,0.006616257088846881,0.8413461538461539,1.0,0.0,9.714285714285714
155,28,200,-82.5,-0.4125,9,0.008086253369272238,0.7562189054726368,1.0,0.0,10.444444444444445
156,23,191,-113.5,-0.5942408376963351,5,0.0054585152838427945,0.8092783505154639,1.0,0.0,12.4
157,32,195,-27.0,-0.13846153846153847,15,0.010496850944716585,0.6767676767676768,1.0,0.0,9.266666666666667
158,28,200,-78.0,-0.39,11,0.009892086330935251,0.7745098039215687,0.9285714285714286,0.07142857142857142,9.181818181818182
159,26,200,-93.5,-0.4675,9,0.009230769230769232,0.7815533980582524,1.0,0.0,10.0
160,26,196,-45.5,-0.23214285714285715,12,0.01059135039717564,0.708994708994709,0.9615384615384616,0.038461538461538464,9.583333333333334
161,24,200,-45.5,-0.2275,12,0.011571841851494697,0.685,1.0,0.0,10.25
162,26,200,-80.5,-0.4025,10,0.00942507068803016,0.7621359223300971,0.9230769230769231,0.07692307692307693,9.9
